"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"715","1912","317",317,"Liberal",0.0851005609522507,3,0.2,0.323060610206595,0.142153509372007,1,1,0.179414454440616,-0.063891920592313,-2166,29236,0.862393439721542
"716","1898","318",318,"Conservative",0.0765943012211669,4,0.4,0.457598371777476,-0.250135685210312,0,0,0.054671226268271,0.136027271971398,3272,14740,0.61278789390538
"717","1912","318",318,"Conservative",0.15034732134361,3,0.4,0.459510895422971,-0.0804072699590827,0,0,0.0667400397528422,0.067258382642998,1705,21018,0.829112426035503
"718","1890","319",319,"Liberal",0.0408628365486538,3,0,0.44313122747509,-0.402268390926436,1,1,0.114700156303971,0.0714226905977277,1735,18868,0.7767166145233
"719","1898","319",319,"Liberal",0.0438752052545156,4,0,0.388702791461412,-0.32256157635468,0,0,0.164888600377604,-0.0371878945867785,-913,15225,0.620137672599894
"720","1903","319",319,"Conservative",0.0931925139542519,4,0.2,0.383057896464923,-0.188956988070483,1,1,0.160784888967097,0.0179024081115337,452,18274,0.72378010139417
"721","1907","319",319,"Conservative",0.153319960911382,4,0.4,0.428534691148485,-0.211387131615491,0,0,0.117278981626671,-0.0472566302954995,-1217,19443,0.754980002329826
"722","1890","32",32,"Liberal",0.0371217518467134,5,0,0.342063819415801,0.113615058682365,1,0,0.170564517339846,-0.0643469574627488,-4638,53338,0.740003884680485
"723","1893","32",32,"Liberal",0.207301641586867,7,0,0.248700410396717,0.229976060191518,0,0,0.150378653385154,-0.116102830902358,-8748,58480,0.776142381249419
"724","1898","32",32,"Liberal",0.185120286204505,5,0.2,0.294363523527909,0.272149819296901,1,1,0.20343176029662,0.0337690773782371,2591,54786,0.714038083073755
"725","1890","321",321,"Liberal",0.099201001155179,4,0.25,0.469628417404698,-0.298084328070851,0,0,0.0522551396272186,0.0587843659434479,1501,20776,0.813660217748884
"726","1893","321",321,"Conservative",0.0327344494351436,4,0.2,0.443446304614128,-0.27351299850279,0,0,0.111526309972208,0.0990953947368421,2651,14694,0.549267344497608
"727","1898","321",321,"Liberal",0.17579678633929,4,0.4,0.425359283024871,-0.0565307312934189,0,0,0.111716716359333,0.0226675781671644,630,18857,0.678480192854316
"728","1903","321",321,"Liberal",0.0837142484001567,5,0,0.20029602542336,0.0870663009882025,0,1,0.388190008376349,-0.099259647513595,-3030,22971,0.752506060407521
"729","1907","321",321,"Liberal",0.144105666943489,4,0.25,0.432317000830466,0.108553802349033,0,0,0.154593258153673,-0.0116776718023968,-382,25287,0.773019075568599
"730","1912","321",321,"Liberal",0.00881746190190991,3,0.25,0.34368137352765,-0.0157050642177414,0,0,0.233896514534109,-0.0293768042112413,-1038,30054,0.850568857191374
"731","1890","325",325,"Liberal",0.00330661322645293,4,0.25,0.451052104208417,-0.429408817635271,0,0,0.0973904806358416,0.0634595701125895,1550,19960,0.817195496417605
"732","1893","325",325,"Catholic",0.0731993470720261,4,0,0.473831871046725,-0.365282595388696,1,1,0.0976535137216185,0.020519397242706,512,19604,0.785668483488298
"733","1898","325",325,"Catholic",0.11604743083004,4,0,0.4966534914361,-0.334703557312253,1,1,0.0768967207279734,-0.0229187601453197,-593,18975,0.733361675813558
"734","1912","325",325,"Catholic",0.0653906923297903,3,0,0.476228095374892,-0.302212008043666,1,0,0.0405793457221225,NA,1395,27848,NA
"735","1912","325",325,"Catholic",0.0987045663187243,3,0,0.493794838665805,-0.287239468226174,0,0,0.00922115923610922,0.0335111601667892,1093,29411,0.901735344616139
"736","1893","326",326,"Conservative",0.0947392010756905,4,0.25,0.485517395932545,-0.324780099725475,0,0,0.04280889106074,0.0956094253263264,2256,17849,0.75644176979149
"737","1898","326",326,"Liberal",0.0334730371612182,3,0,0.484045822855546,-0.388600167644593,0,0,0.014254653011211,0.113584715091322,2699,17895,0.753093173975255
"738","1898","326",326,"Liberal",0.0504999238694614,4,0,0.482566106684261,-0.368065776785261,0,0,0.0367942425612545,0.055852038945696,1371,19703,0.80266427669369
"739","1903","326",326,"Catholic",0.0179825793762293,4,0,0.454294277418751,-0.333801629671256,0,0,0.0584670466230613,0.0622360007750435,1606,21354,0.827514047665181
"740","1907","326",326,"Catholic",0.0849123097972553,3,0,0.493843028317924,-0.315270118993325,0,0,0.0311361209731523,-0.00526475267025217,-139,24119,0.913529278084994
